tamano;obstaculos;repeticion;algoritmo;tiempoMs;nodosVisitados;longitudRuta;maxColaPila;memoriaAprox
10;30%;27;BFS;0.028;64;20;9;73
10;30%;27;DFS;0.015;24;22;9;33
10;30%;28;BFS;0.0305;60;18;7;67
10;30%;28;DFS;0.0201;33;20;12;45
10;30%;29;BFS;0.0492;60;18;7;67
10;30%;29;DFS;0.0193;33;20;12;45
10;30%;30;BFS;0.0304;60;18;7;67
10;30%;30;DFS;0.0209;33;20;12;45
20;10%;1;BFS;0.1758;360;38;19;379
20;10%;1;DFS;0.0365;46;38;31;77
20;10%;2;BFS;0.0259;360;38;20;380
20;10%;2;DFS;0.0309;63;54;38;101
20;10%;3;BFS;0.0225;359;38;23;382
20;10%;3;DFS;0.0292;47;44;35;82
20;10%;4;BFS;0.0542;360;38;23;383
20;10%;4;DFS;0.2323;55;44;35;90
20;10%;5;BFS;0.0361;360;38;19;379
20;10%;5;DFS;0.0345;39;38;33;72
20;10%;6;BFS;0.0384;360;38;22;382
20;10%;6;DFS;0.056;90;82;65;155
20;10%;7;BFS;0.0414;360;38;18;378
20;10%;7;DFS;0.0429;61;44;33;94
20;10%;8;BFS;0.0571;360;38;22;382
20;10%;8;DFS;0.0302;47;46;35;82
20;10%;9;BFS;0.0457;360;38;21;381
20;10%;9;DFS;0.0388;52;50;32;84
20;10%;10;BFS;0.0423;360;38;22;382
20;10%;10;DFS;0.0355;47;46;34;81
20;10%;11;BFS;0.0293;360;38;20;380
20;10%;11;DFS;0.0356;43;40;36;79
20;10%;12;BFS;0.0371;360;38;22;382
20;10%;12;DFS;0.0381;45;42;32;77
20;10%;13;BFS;0.0303;360;38;21;381
20;10%;13;DFS;0.0257;47;44;36;83
20;10%;14;BFS;0.0306;360;38;18;378
20;10%;14;DFS;0.0237;44;42;31;75
20;10%;15;BFS;0.0234;360;38;23;383
20;10%;15;DFS;0.0298;62;48;33;95
20;10%;16;BFS;0.0225;360;38;21;381
20;10%;16;DFS;0.0252;45;44;35;80
20;10%;17;BFS;0.0265;360;38;22;382
20;10%;17;DFS;0.0274;45;44;35;80
20;10%;18;BFS;0.0224;360;38;19;379
20;10%;18;DFS;0.0284;49;46;36;85
20;10%;19;BFS;0.0233;359;38;18;377
20;10%;19;DFS;0.0234;45;44;34;79
20;10%;20;BFS;0.0226;360;38;20;380
20;10%;20;DFS;0.031;54;50;36;90
20;10%;21;BFS;0.0259;359;38;27;386
20;10%;21;DFS;0.0265;51;48;38;89
20;10%;22;BFS;0.0227;360;38;21;381
20;10%;22;DFS;0.022;41;40;32;73
20;10%;23;BFS;0.0227;360;38;23;383
20;10%;23;DFS;0.024;41;40;34;75
20;10%;24;BFS;0.0234;360;38;20;380
20;10%;24;DFS;0.0227;44;42;32;76
20;10%;25;BFS;0.0262;360;38;20;380
20;10%;25;DFS;0.0317;48;44;37;85
20;10%;26;BFS;0.0328;360;38;23;383
20;10%;26;DFS;0.0309;43;42;34;77
20;10%;27;BFS;0.0221;360;38;20;380
20;10%;27;DFS;0.0257;50;44;33;83
20;10%;28;BFS;0.0227;360;38;22;382
20;10%;28;DFS;0.0271;45;44;34;79
20;10%;29;BFS;0.0258;360;38;19;379
20;10%;29;DFS;0.023;43;42;30;73
20;10%;30;BFS;0.0446;360;38;21;381
20;10%;30;DFS;0.0427;50;40;29;79
20;20%;1;BFS;0.022;307;38;17;324
20;20%;1;DFS;0.0485;115;90;69;184
20;20%;2;BFS;0.0224;317;38;22;339
20;20%;2;DFS;0.0781;110;70;45;155
20;20%;3;BFS;0.0262;319;38;22;341
20;20%;3;DFS;0.0321;70;52;32;102
20;20%;4;BFS;0.03;319;38;26;345
20;20%;4;DFS;0.0745;137;104;62;199
20;20%;5;BFS;0.0213;319;38;19;338
